Name,
Age,
Gender,M
Seen,Y
Birth,
Exp_with_coding,Y
Education,Highschool
15.015,-126.0
15.057,-126.0
15.098,-126.0
15.14,-126.0
15.182,-126.0
15.224,-126.0
15.265,-126.0
15.307,-126.0
15.349,-126.0
15.39,-126.0
15.432,-126.0
15.474,-126.0
15.516,-126.0
15.557,-126.0
15.599,-126.0
15.641,-126.0
15.682,-126.0
15.724,-126.0
15.766,-126.0
15.807,-126.0
15.849,-126.0
15.891,-126.0
15.933,-126.0
15.974,-126.0
16.016,-126.0
16.058,-126.0
16.099,-126.0
16.141,-126.0
16.183,-126.0
16.225,-126.0
16.266,-126.0
16.308,-126.0
16.35,-126.0
16.391,-126.0
16.433,-126.0
16.475,-126.0
16.517,-126.0
16.558,-126.0
16.6,-126.0
16.642,-126.0
16.683,-126.0
16.725,-126.0
16.767,-126.0
16.808,-126.0
16.85,-126.0
16.892,-126.0
16.934,-126.0
16.975,-126.0
17.017,-126.0
17.059,-126.0
17.1,-126.0
17.142,-126.0
17.184,-126.0
17.226,-126.0
17.267,-126.0
17.309,-126.0
17.351,-126.0
17.392,-126.0
17.434,-126.0
17.476,-126.0
17.518,-126.0
17.559,-126.0
17.601,-126.0
17.643,-126.0
17.684,-126.0
17.726,-126.0
17.768,-126.0
17.809,-126.0
17.851,-126.0
17.893,-126.0
17.935,-126.0
17.976,-126.0
18.018,-126.0
18.06,-126.0
18.101,-126.0
18.143,-126.0
18.185,-126.0
18.227,-126.0
18.268,-126.0
18.31,-126.0
18.352,-126.0
18.393,-126.0
18.435,-126.0
18.477,-126.0
18.519,-126.0
18.56,-126.0
18.602,-126.0
18.644,-126.0
18.685,-126.0
18.727,-126.0
18.769,-126.0
18.81,-126.0
18.852,-126.0
18.894,-126.0
18.936,-126.0
18.977,-126.0
19.019,-126.0
19.061,-126.0
19.102,-126.0
19.144,-126.0
19.186,-126.0
19.228,-126.0
19.269,-126.0
19.311,-126.0
19.353,-126.0
19.394,-126.0
19.436,-126.0
19.478,-126.0
19.52,-126.0
19.561,-126.0
19.603,-126.0
19.645,-126.0
19.686,-126.0
19.728,-126.0
19.77,-126.0
19.811,-126.0
19.853,-126.0
19.895,-126.0
19.937,-126.0
19.978,-126.0
20.02,-126.0
20.062,-126.0
20.103,-126.0
20.145,-126.0
20.187,-126.0
20.229,-126.0
20.27,-126.0
20.312,-126.0
20.354,-126.0
20.395,-126.0
20.437,-126.0
20.479,-126.0
20.521,-126.0
20.562,-126.0
20.604,-126.0
20.646,-126.0
20.687,-126.0
20.729,-126.0
20.771,-126.0
20.812,-126.0
20.854,-126.0
20.896,-126.0
20.938,-126.0
20.979,-126.0
21.021,-126.0
21.063,-126.0
21.104,-126.0
21.146,-126.0
21.188,-126.0
21.23,-126.0
21.271,-126.0
21.313,-126.0
21.355,-126.0
21.396,-126.0
21.438,-126.0
21.48,-126.0
21.522,-126.0
21.563,-126.0
21.605,-126.0
21.647,-126.0
21.688,-126.0
21.73,-126.0
21.772,-126.0
21.813,-126.0
21.855,-126.0
21.897,-126.0
21.939,-126.0
21.98,-126.0
22.022,-126.0
22.064,-126.0
22.105,-126.0
22.147,-126.0
22.189,-126.0
22.231,-126.0
22.272,-126.0
22.314,-126.0
22.356,-126.0
22.397,-126.0
22.439,-126.0
22.481,-126.0
22.522,-126.0
22.564,-126.0
22.606,-126.0
22.648,-126.0
22.689,-126.0
22.731,-126.0
22.773,-126.0
22.814,-126.0
22.856,-126.0
22.898,-126.0
22.94,-126.0
22.981,-126.0
23.023,-126.0
23.065,-126.0
23.106,-126.0
23.148,-126.0
23.19,-126.0
23.232,-126.0
23.273,-126.0
23.315,-126.0
23.357,-126.0
23.398,-126.0
23.44,-126.0
23.482,-126.0
23.523,-126.0
23.565,-126.0
23.607,-126.0
23.649,-126.0
23.69,-126.0
23.732,-126.0
23.774,-126.0
23.815,-126.0
23.857,-126.0
23.899,-126.0
23.941,-126.0
23.982,-126.0
24.024,-126.0
24.066,-126.0
24.107,-126.0
24.149,-126.0
24.191,-126.0
24.233,-126.0
24.274,-126.0
24.316,-126.0
24.358,-126.0
24.399,-126.0
24.441,-126.0
24.483,-126.0
24.524,-126.0
24.566,-126.0
24.608,-126.0
24.65,-126.0
24.691,-126.0
24.733,-126.0
24.775,-126.0
24.816,-126.0
24.858,-126.0
24.9,-126.0
24.942,-126.0
24.983,-126.0
25.025,-126.0
25.067,-126.0
25.108,-126.0
25.15,-126.0
25.192,-126.0
25.234,-126.0
25.275,-126.0
25.317,-126.0
25.359,-126.0
25.4,-126.0
25.442,-126.0
25.484,-126.0
25.525,-126.0
25.567,-126.0
25.609,-126.0
25.651,-126.0
25.692,-126.0
25.734,-126.0
25.776,-126.0
25.817,-126.0
25.859,-126.0
25.901,-126.0
25.943,-126.0
25.984,-126.0
26.026,-126.0
26.068,-126.0
26.109,-126.0
26.151,-126.0
26.193,-126.0
26.235,-126.0
26.276,-126.0
26.318,-126.0
26.36,-126.0
26.401,-126.0
26.443,-126.0
26.485,-126.0
26.526,-126.0
26.568,-126.0
26.61,-126.0
26.652,-126.0
26.693,-126.0
26.735,-126.0
26.777,-126.0
26.818,-126.0
26.86,-126.0
26.902,-126.0
26.944,-126.0
26.985,-126.0
27.027,-126.0
27.069,-126.0
27.11,-126.0
27.152,-126.0
27.194,-126.0
27.236,-126.0
27.277,-126.0
27.319,-126.0
27.361,-126.0
27.402,-126.0
27.444,-126.0
27.486,-126.0
27.527,-126.0
27.569,-126.0
27.611,-126.0
27.653,-126.0
27.694,-126.0
27.736,-126.0
27.778,-126.0
27.819,-126.0
27.861,-126.0
27.903,-126.0
27.945,-126.0
27.986,-126.0
28.028,-126.0
28.07,-126.0
28.111,-126.0
28.153,-126.0
28.195,-126.0
28.237,-126.0
28.278,-126.0
28.32,-126.0
28.362,-126.0
28.403,-126.0
28.445,-126.0
28.487,-126.0
28.528,-126.0
28.57,-126.0
28.612,-126.0
28.654,-126.0
28.695,-126.0
28.737,-126.0
28.779,-126.0
28.82,-126.0
28.862,-126.0
28.904,-126.0
28.946,-126.0
28.987,-126.0
29.029,-126.0
29.071,-126.0
29.112,-126.0
29.154,-126.0
29.196,-126.0
29.238,-126.0
29.279,-126.0
29.321,-126.0
29.363,-126.0
29.404,-126.0
29.446,-126.0
29.488,-126.0
29.529,-126.0
29.571,-126.0
29.613,-126.0
29.655,-126.0
29.696,-126.0
29.738,-126.0
29.78,-126.0
29.821,-126.0
29.863,-126.0
29.905,-126.0
29.947,-126.0
29.988,-126.0
30.03,-126.0
30.072,-126.0
30.113,-126.0
30.155,-126.0
30.197,-126.0
30.239,-126.0
30.28,-126.0
30.322,-126.0
30.364,-126.0
30.405,-126.0
30.447,-126.0
30.489,-126.0
30.53,-126.0
30.572,-126.0
30.614,-126.0
30.656,-126.0
30.697,-126.0
30.739,-126.0
30.781,-126.0
30.822,-126.0
30.864,-126.0
30.906,-126.0
30.948,-126.0
30.989,-126.0
31.031,-126.0
31.073,-126.0
31.114,-126.0
31.156,-126.0
31.198,-126.0
31.24,-126.0
31.281,-126.0
31.323,-126.0
31.365,-126.0
31.406,-126.0
31.448,-126.0
31.49,-126.0
31.531,-126.0
31.573,-126.0
31.615,-126.0
31.657,-126.0
31.698,-126.0
31.74,-126.0
31.782,-126.0
31.823,-126.0
31.865,-126.0
31.907,-126.0
31.949,-126.0
31.99,-126.0
32.032,-126.0
